name,parent
Innovation, null
1. TRENDS & RESEARCH,Innovation
2. INSIGHT DEFINITION,Innovation
3. SOLUTION FINDING,Innovation
4. DEVELOPMENT,Innovation
5. MARKETING,Innovation
Tech trends,1. TRENDS & RESEARCH
User insights,1. TRENDS & RESEARCH
Hotel insights,1. TRENDS & RESEARCH
Market insights,1. TRENDS & RESEARCH
Empatize,2. INSIGHT DEFINITION
Define Insight,2. INSIGHT DEFINITION
Ideation,3. SOLUTION FINDING
Prototype solution & Test / POC,3. SOLUTION FINDING
Pilot solution & deployment,4. DEVELOPMENT
Internal Mktg,5. MARKETING
External Mktg,5. MARKETING
Scaling / Making known,5. MARKETING
General public tech events,Tech trends
Tech trend notes /opportunity memos,Tech trends
Showroom of technologies,Tech trends
General public inspirational/trend events (ex. Skift),Market insights
Newsletter Innovation Trends,Market insights
Macro trends reports,Market insights
Concept trend notes / opportunity memos,Market insights
Open Innovation Startup Events participation,Market insights
Other corporate exchanges,Market insights
Hubs needs collection,Hotel insights
Hotel Sector events (ex. HiTech),Hotel insights
Product strategy insights,User insights
Quantitative user data,User insights
Google Search trends,User insights
User interviews,Empatize
Hotel focus groups (hotel labs),Empatize
Shadowing,Empatize
Hotel visits + feedback sharing,Empatize
Learning expeditions organisation,Empatize
User definition / personas,Define Insight
Experience maps,Define Insight
Workshop facilitation,Define Insight
Consulting on innovation expertise,Define Insight
Project management (RFP),Ideation
"Strategyzer canvas (VPC, BMC)",Ideation
Ideation/Brainstorming workshops,Ideation
Tech & product challenging,Ideation
Startup challenges,Ideation
Startup pitch sessions,Ideation
Concept exploration,Ideation
Techstar animation,Ideation
Centralize and contribute to ideas gathering,Ideation
Hackathon organisation,Ideation
Exchange on best practices & ideas,Ideation
partnerships with schools,Ideation
Data specific sourcing and evaluation,Ideation
POC of startups,Prototype solution & Test / POC
Concept prototype build,Prototype solution & Test / POC
Showroom concept,Prototype solution & Test / POC
Lego serious play workshop,Prototype solution & Test / POC
Storyboard,Prototype solution & Test / POC
Design Sprint,Prototype solution & Test / POC
Fake ad (interest tracking),Prototype solution & Test / POC
Fake product (Oz magician testing),Prototype solution & Test / POC
Custom applicative development,Prototype solution & Test / POC
Interactive mockups,Prototype solution & Test / POC
Low-code prototyping,Prototype solution & Test / POC
Room prototype in hotel,Prototype solution & Test / POC
Custom data development,Prototype solution & Test / POC
Custom development,Pilot solution & deployment
Integration into legacy,Pilot solution & deployment
Internal development,Pilot solution & deployment
Product culture,Pilot solution & deployment
Agile implementation,Pilot solution & deployment
Investment and deployment of concepts,External Mktg
External innovation marketing campaigns,External Mktg
"Positionning, pricing, bundling",Scaling / Making known
Define brand platform,Scaling / Making known
Single Innovation Intranet,Internal Mktg
Internal innovation marketing campaigns,Internal Mktg